"date","close","open","high","low","volume","sma"
"12.06.2019",623.41,608.33,633.11,608.33,"625.31K",269.85506
"11.06.2019",613.3,628.06,634,608.39,"455.84K",269.4468
"10.06.2019",616.46,625.89,632.67,613.03,"564.70K",269.04928
"07.06.2019",604.49,582,618,582,"695.30K",268.64719
"06.06.2019",581.69,569.14,587.37,565.48,"555.44K",268.25803
"05.06.2019",569.15,564.22,569.81,546.99,"700.00K",267.89442
"04.06.2019",551.71,568,577.69,544.44,"1.17M",267.54453
"03.06.2019",568.77,567.59,589.82,564.74,"688.09K",267.2141
"31.05.2019",570.52,566.56,576.71,560.41,"522.92K",266.86305
"30.05.2019",578.29,576.62,590,575.92,"400.17K",266.50914
"29.05.2019",573.61,595,597.41,568.34,"936.59K",266.14533
"28.05.2019",600.58,596,611.96,595.5,"593.76K",265.78614
"24.05.2019",592.55,584.44,595.68,584,"512.64K",265.39457
"23.05.2019",580.67,563.11,582.74,563,"424.59K",265.01149
"22.05.2019",569.49,565.85,589,563.03,"653.51K",264.64143
"21.05.2019",572.95,578.34,580,567.51,"366.48K",264.28363
"20.05.2019",574.09,572.99,577.66,564.68,"510.49K",263.92092
"17.05.2019",574.57,585.01,589.89,573.63,"551.64K",263.55601
"16.05.2019",595.73,573.57,596.7,573.57,"698.15K",263.18968
"15.05.2019",572.93,558.24,582.48,558.24,"583.06K",262.79754
"14.05.2019",562.69,551.24,565,546.96,"660.03K",262.43138
"13.05.2019",543.03,540.02,549.85,539.16,"664.46K",262.07647
"10.05.2019",557.84,542.7,558.77,536.58,"544.58K",261.74398
"09.05.2019",542.64,529.48,551.37,520.87,"546.74K",261.39315
"08.05.2019",536.06,536.29,554.37,535.66,"541.22K",261.05953
"07.05.2019",539.41,557.91,562.62,535.12,"726.96K",260.73292
"06.05.2019",567.69,565.58,580.43,562.31,"625.10K",260.40156
"03.05.2019",578.94,541.85,589.56,529.19,"2.20M",260.03574
"02.05.2019",482.35,484.35,491.98,478.78,"508.29K",259.65564
"01.05.2019",484.73,487.78,493.04,483.56,"320.09K",259.38989
"30.04.2019",484.14,491.57,495.65,482.33,"451.65K",259.12067
"29.04.2019",494.16,489.67,494.85,481.6,"437.73K",258.85151
"26.04.2019",489.52,491.19,495,485.35,"425.00K",258.5697
"25.04.2019",487.57,486.03,491.51,460,"1.22M",258.29278
"24.04.2019",486.01,503.34,504.94,475.14,"777.58K",258.01754
"23.04.2019",500,480.55,500.37,480.55,"661.77K",257.74351
"22.04.2019",490.77,490.8,495.1,488,"432.73K",257.45199
"18.04.2019",492,490.24,493.79,477.03,"663.59K",257.17088
"17.04.2019",498.38,499.32,503.46,486.69,"502.33K",256.88761
"16.04.2019",501.96,515.05,518.58,498,"469.58K",256.59595
"15.04.2019",513.68,503.03,516.39,502.69,"496.41K",256.29926
"12.04.2019",504.52,505.46,509.09,503.31,"358.22K",255.98766
"11.04.2019",503.73,507,510.5,499.19,"387.32K",255.68641
"10.04.2019",514.34,507.12,516.91,504.71,"347.96K",255.38539
"09.04.2019",505.18,500.74,510,500.74,"240.25K",255.07074
"08.04.2019",506.5,503.84,506.84,496.62,"210.93K",254.76647
"05.04.2019",502.85,511.7,511.7,498.44,"391.24K",254.45985
"04.04.2019",501.48,508.55,508.79,490.87,"708.17K",254.15694
"03.04.2019",508.58,522.55,527.09,507.7,"775.04K",253.85496
"02.04.2019",509.99,517.02,521.55,508.32,"575.80K",253.54356
"01.04.2019",518.11,516.28,525.9,514.95,"648.03K",253.22967
"29.03.2019",507.73,503.11,511.49,498.13,"389.62K",252.90506
"28.03.2019",497.15,497.16,504.2,488.35,"553.04K",252.59239
"27.03.2019",484.94,490.01,498.63,479.13,"634.62K",252.29195
"26.03.2019",493.9,497.32,501.37,490.45,"489.40K",252.00579
"25.03.2019",491.3,497.2,501.03,489.82,"402.62K",251.70789
"22.03.2019",497.37,499.28,503.56,489.37,"702.98K",251.41247
"21.03.2019",504.48,496.25,506.32,493.7,"463.49K",251.10881
"20.03.2019",497.95,484.86,500.59,482.84,"760.80K",250.79562
"19.03.2019",482.36,483.3,491.77,479,"687.54K",250.48974
"18.03.2019",484.97,490,494.39,479,"885.72K",250.20242
"15.03.2019",488.73,486.31,495,482.04,"1.12M",249.91114
"14.03.2019",493.79,503.36,506.8,491.76,"1.06M",249.61447
"13.03.2019",507.93,489.6,514.9,488,"3.29M",249.31077
"12.03.2019",483.48,481.49,484.43,472.16,"1.49M",248.9887
"11.03.2019",481.11,455.23,483.75,450.85,"1.14M",248.69632
"08.03.2019",449.59,436.45,450.15,436.45,"588.38K",248.40617
"07.03.2019",451.15,460,462.1,446.58,"1.32M",248.15469
"06.03.2019",461.53,466.6,469.08,457.16,"448.14K",247.90063
"05.03.2019",467.77,469.71,478.6,461.96,"705.44K",247.63292
"04.03.2019",463.8,455.88,465,449.68,"724.66K",247.35671
"01.03.2019",451.64,461.75,474.84,447,"1.41M",247.0848
"28.02.2019",458.79,444.18,462.07,443.45,"1.14M",246.8275
"27.02.2019",446.68,408,452.43,405.01,"2.63M",246.56054
"26.02.2019",369.49,372,374.92,362.51,"781.16K",246.30818
"25.02.2019",375.09,375.23,382.84,373.85,"548.34K",246.15265
"22.02.2019",374.06,367.17,374.31,366.25,"304.73K",245.98965
"21.02.2019",364.98,367,368.88,358.07,"427.14K",245.82753
"20.02.2019",368.34,367.35,372.48,363.17,"399.17K",245.67651
"19.02.2019",367.21,362.61,370.89,361.38,"488.87K",245.52085
"15.02.2019",363.1,364.19,365.56,360.01,"243.30K",245.36623
"14.02.2019",359.84,357,364.56,356,"373.57K",245.21644
"13.02.2019",360.57,365.03,367.86,357.54,"228.21K",245.07042
"12.02.2019",364,354.38,367.61,351.51,"527.21K",244.9231
"11.02.2019",350.83,350,355.11,346.99,"559.90K",244.77102
"08.02.2019",347.82,351.19,353.27,338.95,"908.11K",244.6354
"07.02.2019",358.2,354.58,361.5,345.39,"332.16K",244.50328
"06.02.2019",358.92,360.37,365.75,352.96,"501.51K",244.35751
"05.02.2019",363.25,370.28,374.97,362.31,"451.11K",244.21045
"04.02.2019",368.08,361.85,369.03,354.39,"358.42K",244.05744
"01.02.2019",364.66,365.73,366.89,359,"495.60K",243.89782
"31.01.2019",364,361.7,368.27,356.06,"733.80K",243.7422
"30.01.2019",362.02,352.13,366.34,351.3,"575.42K",243.58703
"29.01.2019",351.23,354.7,357,346.4,"453.18K",243.43402
"28.01.2019",355,338.12,356.42,335.28,"468.67K",243.29457
